location,n,mean_dart,mean_dart_raw,median_dart,abs_dart,share_da_rich,t_hac,p,p_bh,discovery
AZURE_RN,12699,0.571967021025278,0.5568997558862903,-0.2550000000000008,4.277767973856209,0.4420033073470352,3.2244602572243046,0.0012621037356706168,0.009310442173139396,True
TRENT_TRENT,12699,1.4171392589967726,0.06128888101425301,0.8500000000000014,7.717169607843138,0.6170564611386723,3.2040019971560354,0.0013553153651888396,0.009921736146687765,True
STWF_T1,12699,1.415601842664778,0.05975116150878016,0.8500000000000014,7.716803937317899,0.6170564611386723,3.200618213574015,0.0013713310384656828,0.009962927771883257,True
WFTANK_ESS1,12699,-1.3670206906055595,-1.502876210725254,-0.6500000000000057,10.217349039294433,0.42192298606189466,-3.1654216883592188,0.0015485834110894807,0.011112417078426681,True
ANCHOR_ALL,12699,0.4644555831167815,0.3547048980234665,-0.19250000000000256,3.5627803015985515,0.4448381762343492,3.1645175275278397,0.001553403054288791,0.011112417078426681,True
HI_LONE_ALL,12699,1.0658440192141119,0.893400661469407,0.8775000000000013,7.955921852114341,0.5922513583746751,3.1624803092481404,0.0015643131445126192,0.011112417078426681,True
HI_LONEB_RN1,12699,1.0649974958658168,0.892554138121112,0.875,7.955204472793135,0.5921726120166942,3.160152106461929,0.0015768679375524615,0.01111923788318243,True
SANTACRU_ALL,12699,-1.0519863926293396,-1.5060162217497441,-0.4324999999999992,6.699654413733367,0.42830144105835105,-3.1498326253546938,0.0016336402482974744,0.011435481738082322,True
HORSECRK_RN,12699,0.5753000905583135,0.5857868729821245,-0.28749999999999964,4.519687900622098,0.44318450271674936,3.144005377990087,0.0016665237696040906,0.011497815072304482,True
SALVTION_GEN,12699,0.5753000905583135,0.5857868729821245,-0.28749999999999964,4.519687900622098,0.44318450271674936,3.144005377990087,0.0016665237696040906,0.011497815072304482,True
FERGCC_GT2_3,12699,1.001638672336413,0.40364556264272794,0.135,5.517031829277904,0.536813922356091,3.131759782444136,0.0017376198338034542,0.011818341678995634,True
FERGCC_GT1_1,12699,1.0016156390267037,0.40362252933301856,0.135,5.517011945822514,0.536813922356091,3.131710939417673,0.001737908910591668,0.011818341678995634,True
OLIN_OLING_1,12699,0.5813577604535789,-0.2571029214898812,0.15749999999999886,4.00650108669974,0.5316954090873297,3.1296826264492927,0.0017499525739493014,0.011818341678995634,True
FERGCC_CC1,12699,1.0001999763761014,0.40207772265532754,0.1349999999999998,5.5164054020001645,0.5366564296401292,3.127316804639847,0.0017640972201248197,0.0118305540846133,True
HEARN_RD_RN,12507,-0.9116989285999838,-1.545746581914128,-0.22500000000000142,6.075621851763013,0.4542256336451587,-3.124877125293037,0.0017787934589698683,0.011846270327445164,True
PIRATE_RN,12507,-0.8197813064683772,-1.358694331174542,-0.21499999999999986,5.462667961941313,0.455584872471416,-3.119949156265124,0.0018088225859525292,0.011963178344334312,True
FERGCC_ST1_5,12699,0.9966501929285853,0.39922513583746777,0.1349999999999998,5.516251350500047,0.5365776832821482,3.115775026130422,0.0018346218052929192,0.012050700762163764,True
APPALOSA_ALL,12699,3.1133325064965756,2.7343383337270653,2.045,22.451692700212615,0.6056382392314356,3.1058443684031283,0.001897365482224614,0.012378051003084386,True
VERAWIND_ALL,12699,0.5685237223403428,0.5892302543507362,-0.29999999999999716,4.56061643830223,0.44066461926135914,3.0995820013057678,0.0019379392487643935,0.012420084255393555,True
TRUSGILL_RN,12699,0.5685213599496033,0.5892278919599968,-0.29999999999999716,4.560618800692969,0.44066461926135914,3.099569705287818,0.0019380196921905954,0.012420084255393555,True
FLUVANNA_1_2,12699,0.960902846680843,1.033980037798252,-0.5899999999999999,6.96066945822506,0.40908732971100087,3.096891731851979,0.001955612849389392,0.012420084255393555,True
ENDPARK_ESS1,12699,0.960902846680843,1.033980037798252,-0.5899999999999999,6.96066945822506,0.40908732971100087,3.096891731851979,0.001955612849389392,0.012420084255393555,True
RANCHERO_ALL,12699,0.9840634183794001,0.8405094889361366,0.8000000000000007,7.541244393259312,0.5875265768958186,3.0633961385040442,0.0021884015536754145,0.013807086118254753,True
GRIF_TRL_RN,12699,0.5586722970312631,0.5736882825419324,-0.3049999999999997,4.562248066776912,0.43971966296558784,3.0502950981922345,0.0022861661658425884,0.014329629758451257,True
SHAMROCK_RN,12699,0.9626192613591635,0.8209473186865107,0.7500000000000036,7.384558721159147,0.5861091424521616,3.0276320272927855,0.0024647801841105603,0.015348858419233944,True
JUNCTION_RN,12699,5.294537975431139,2.056986376880069,2.102499999999999,25.35307760847311,0.6506024096385542,3.0126927632444573,0.002589409258136839,0.015755600851339705,True
BKSL_RN,12699,0.6534543546735971,0.7020560674068824,-0.4175000000000004,5.362414186156391,0.431136309945665,3.0119430080614586,0.0025958132789485645,0.015755600851339705,True
DKNS_ESS_RN,12699,0.6534543546735971,0.7020560674068824,-0.4175000000000004,5.362414186156391,0.431136309945665,3.0119430080614586,0.0025958132789485645,0.015755600851339705,True
WAKEWE_ALL,12699,0.6534543546735971,0.7020560674068824,-0.4175000000000004,5.362414186156391,0.431136309945665,3.0119430080614586,0.0025958132789485645,0.015755600851339705,True
OLIN_OLING_4,12699,0.5582110559886604,-0.28006772186786366,0.125,3.998946161115048,0.5265768958185684,3.0039382778812787,0.0026650938561576486,0.015874753054557253,True
OLIN_OLING_2,12699,0.5582108591227655,-0.2800679187337586,0.125,3.998945964249153,0.5265768958185684,3.0039370596378356,0.0026651045274074217,0.015874753054557253,True
OLIN_OLING_3,12699,0.5582108591227655,-0.2800679187337586,0.125,3.998945964249153,0.5265768958185684,3.0039370596378356,0.0026651045274074217,0.015874753054557253,True
VORT_ALL_RN,12699,0.5242430939444056,0.5188932199385777,-0.2574999999999985,4.166422462398615,0.44153082919914954,2.994059692376384,0.0027529207979717116,0.01629661139046217,True
JUNORTH_RN,12699,5.09924616505237,1.8905342940389005,2.0749999999999957,25.17577629340893,0.6504449169225923,2.9723831692350684,0.002954976480507888,0.017385413771822483,True
LILY_RN,12699,0.5121813567997486,0.15023210489014896,0.024999999999991473,3.6282394558626665,0.5053153791637137,2.9634021424757315,0.0030425878671760027,0.017791718076962112,True
MONT_WND_RN,12699,0.5363670485865034,0.5550507914008977,-0.3200000000000003,4.592295468147099,0.4387747066698165,2.9341908624166777,0.0033441849711241356,0.01943680840792755,True
SWT_BESS_RN,12699,1.2766588825891847,0.11766064257028098,1.2899999999999991,8.441494751555243,0.6352468698322703,2.91258206165474,0.0035845400215758993,0.02070827638970655,True
PITSDD_UNIT1,12699,0.6749087211591527,0.43957142294668883,-0.030000000000001137,4.183598948736128,0.4857075360264588,2.8927487334493747,0.0038188666956279604,0.02192989916830667,True
COL_COLETOG1,12699,-0.7929235687849401,-1.0124076698952673,-0.2975000000000012,5.559723088432165,0.4376722576580833,-2.8698920004329116,0.004106120187657969,0.023439102737880902,True
FOARDCTY_ALL,12699,0.5240766989526733,0.5410004724781479,-0.3299999999999912,4.620863823923144,0.4374360185841405,2.8590808011440405,0.004248705487227567,0.0241095181198298,True
ETCCS_CCU,12699,0.5215724151507994,0.8303643987715568,-0.04749999999999588,3.6504428931411925,0.48224269627529726,2.842522043835635,0.004475813578573465,0.025151704243033368,True
NED_NEDIN_G3,12699,-1.2573526852508048,-1.6219147176943065,-0.3424999999999976,8.839321241830067,0.44956295771320576,-2.8418812718557365,0.004484819004753604,0.025151704243033368,True
CISC_RN,12699,1.1455294432632528,-0.03484231041814302,0.4400000000000013,6.7058637294275165,0.5879203086857233,2.82855879870746,0.004675811086941986,0.025990969540722924,True
NEDIN_CC1,12699,-1.2425584770454363,-1.534631860776439,-0.3325000000000031,8.80854968107725,0.4501929285770533,-2.8276794190952677,0.004688673337377545,0.025990969540722924,True
DRYFRIO_RN,12699,0.6610042011181986,0.7495186628868415,0.6750000000000007,6.006277521852115,0.5926450901645799,2.818095366944327,0.004830945870137592,0.026625730399206612,True
SCES_UNIT1,12699,0.38345282699425204,0.3267934483030159,-0.062499999999998224,3.2241894125521697,0.472871879675565,2.7993068713446263,0.005121244167330406,0.028064418036970625,True
YNG_WND_ALL,12699,0.4846745176785574,0.4945434679896056,-0.2325000000000017,4.079294338136862,0.44373572722261595,2.7823465612917233,0.005396737746240255,0.02940608806047957,True
ANTL_ESS_ES1,12507,1.8490817462221185,0.7538726313264571,1.6900000000000013,15.664638026705047,0.5880706804189654,2.764952556350444,0.0056931075361663485,0.030845706933240274,True
PAULN_RN,12699,0.4315353649893698,0.24273978266005194,-0.005000000000002558,3.4323979919678718,0.496574533427829,2.7338284922882177,0.0062602643315635975,0.03372059278272265,True
FERMI_ALL,12699,1.8524640326009922,0.7499696826521776,1.6450000000000031,15.901752204898024,0.585636664304276,2.7320561239455428,0.006294041822843956,0.03372059278272265,True
INGLCO_PUN2,12699,-0.8121400858335297,-1.460743168753445,-0.28749999999999787,6.256712619103867,0.44751555240570123,-2.7224073448581967,0.006480820397107043,0.03449566970269998,True
TNS_SLR_ALL,12699,0.3399509843294749,0.3278571147334436,-0.07249999999999623,3.022441156783999,0.46917080085046065,2.720889453757589,0.006510652988726482,0.03449566970269998,True
LZ_SOUTH,12699,-0.6660717143082132,-1.46072269470037,-0.03249999999999709,4.746639278683362,0.4912197810851248,-2.709373547223512,0.006741039609859317,0.03552009332887409,True
INGLCOSW_STG,12699,-0.8022544649184971,-1.4461798173084495,-0.2850000000000019,6.263026305220884,0.4476730451216631,-2.680496195771759,0.007351310004922959,0.037902722014629665,True
INGLCOSW_CC1,12699,-0.8022544649184971,-1.4461798173084495,-0.2850000000000019,6.263026305220884,0.4476730451216631,-2.680496195771759,0.007351310004922959,0.037902722014629665,True
INGLCOS_CTG2,12699,-0.8022544649184971,-1.4461798173084495,-0.2850000000000019,6.263026305220884,0.4476730451216631,-2.680496195771759,0.007351310004922959,0.037902722014629665,True
INGLCOS_CTG1,12699,-0.8022544649184971,-1.4461798173084495,-0.2850000000000019,6.263026305220884,0.4476730451216631,-2.680496195771759,0.007351310004922959,0.037902722014629665,True
ROSELAND_ALL,12699,0.34165011811953716,0.31990333884557837,-0.07000000000000028,3.068785994960234,0.47003701078825105,2.677077762864707,0.007426739571277339,0.03808686229334207,True
S_HILLS_RN,12699,0.4796731632412001,0.4190711867076148,-0.09499999999999886,4.324756870619734,0.4757854949208599,2.6723663933133115,0.00753183609081676,0.03842037665475145,True
WH_WIND_ALL,12699,0.49212535632727006,0.431429640129144,-0.06499999999999773,4.380115284668085,0.4824789353492401,2.653855050377981,0.007957800256207676,0.04037846796668339,True
DC_N,12699,0.4481131467044656,0.41439266871407193,-0.2599999999999998,4.2629103197102145,0.44554689345617765,2.652003194297527,0.008001578489974763,0.04038691458887261,True
FAGUSSLR_RN,12507,0.5776230351003442,0.5867288318541617,-0.40749999999999886,5.49652018069881,0.43367714080115133,2.6406509772634363,0.008274691508355548,0.04154674951053911,True
ELECTRAW_1_2,12699,0.44411472163162574,0.4147096228049453,-0.2699999999999996,4.270725879990552,0.44475942987636824,2.6333384687211407,0.008455004284392623,0.04223098494131523,True
INGLCO_PUN3,12699,-0.7903862075753997,-1.4325994172769507,-0.2825000000000024,6.269104736593433,0.4482242696275297,-2.6292564260823,0.008557180857005605,0.04251987793714184,True
DENISON_G1_2,12699,0.3833616111504846,0.009431451295377695,-0.0224999999999973,3.285931585164186,0.4894086148515631,2.586290205489868,0.009701520964877018,0.04795751858410856,True
BLSMT1_5_A_6,12699,0.45310830380344935,0.44631703283723134,-0.3125,4.47084462162375,0.43814473580596897,2.5790126081084783,0.00990831702116136,0.04871929100194648,True
MISAE_GEN_RN,12699,0.5573438026616281,0.5689680289786596,-0.40249999999999986,5.472269064493269,0.43428616426490274,2.5773111535682682,0.009957227358062055,0.04871929100194648,True
PANDA_S_ST1,12699,0.39061554059374776,0.0300761871013466,-0.025000000000000355,3.3651597330498464,0.48869989762973465,2.5713640477968243,0.010129877950291997,0.0488168490167338,True
PANDA_S_CT2,12699,0.39061554059374776,0.0300761871013466,-0.025000000000000355,3.3651597330498464,0.48869989762973465,2.5713640477968243,0.010129877950291997,0.0488168490167338,True
PANDA_S_CT1,12699,0.39061554059374776,0.0300761871013466,-0.025000000000000355,3.3651597330498464,0.48869989762973465,2.5713640477968243,0.010129877950291997,0.0488168490167338,True
JAG_SLR_RN,12507,0.48730646038218683,0.3992460222275526,-0.08750000000000036,4.193433205404974,0.46957703685935875,2.5696049792626052,0.010181453811613261,0.04882007102668559,True
FPPYD_FPP_G3,12699,-0.3985655405937471,-0.40706394204268054,-0.052500000000009095,3.1077415229545635,0.4773604220804788,-2.536718201304752,0.011189698565097406,0.05338766628820106,False
BRANDON_RN,12699,0.6440478187258853,0.6558272304905897,-0.379999999999999,6.143493688479409,0.4490904795653201,2.518109582288388,0.011798660664872052,0.05601443355253613,False
FENCESLR_ALL,12699,0.38756508386487415,0.2512008819592093,-0.024999999999991473,3.341398102212776,0.48767619497598236,2.515114939446556,0.011899358294087952,0.056214209872070674,False
FRONT_EC_CC1,12699,-1.119213339633039,-1.356211118985747,-0.3924999999999983,8.785080959130644,0.4453106543822348,-2.5110448133268344,0.012037441486827697,0.05658777640131256,False
