location,asset,mean_basis,std_basis,abs_basis,skew,spike_share,neg_share,peak_hour,trough_hour,diurnal_range,F1,F2,F3,F4,F5,F6,F7,F8,factor_r2,resid_std
QUEEN_BA_RN,other,7.524368248003757,18.20000156448323,12.27444809769845,3.867291972565365,0.13540897805810911,0.2705495537811179,4,15,22.577616747181963,-0.04111823677628569,-0.021638047594450247,0.03768871026571453,-0.00291344701877047,-0.049291678377027984,-0.025554092976146806,-0.02279853649355823,0.029379866161078648,0.9494832340887749,3.493547972263561
QUEEN_SL_RN,other,7.52282828960612,18.202659913364144,12.276651009863786,3.865353991230933,0.13540897805810911,0.2705495537811179,4,15,22.59230273752013,-0.041118642655742665,-0.021642547004529927,0.037679743406761404,-0.0029048950196537745,-0.04929328427413667,-0.02553257564925383,-0.022780055126671497,0.029352282236407033,0.9493988237926441,3.4976190501559064
RAB_G1-8,thermal,-0.702563242300208,10.999574574453328,3.7511360128833124,-16.464611451811383,0.014762128430517345,0.32751794940615986,12,7,4.534363929146538,0.03679961078469767,-0.0016107039894568435,-0.003770047243734525,0.009696207412880915,-0.019665531420350865,0.04089669379316823,0.03867338859259976,0.03819751988682483,0.5981165813932021,3.7068471639010725
RADN_SLR_ALL,solar,-3.2310695833053744,10.986983008153311,5.3356861034691,4.651288984184134,0.03408709655774005,0.48439911427229415,20,15,5.272254428341385,-0.04314178264119058,-0.014539730339287956,-0.02766550425234306,-0.016256020345370478,0.009733187136956489,-0.004158142289705458,0.052481179135236186,-0.04096423986114441,0.8397916083846465,3.153954369035776
RAMBLER_UNIT,thermal,-2.276573173186607,12.181598092853951,6.064401127289807,9.511454115568213,0.025229819499429644,0.4844662148560692,20,15,6.657729468599034,-0.04147492397428559,-0.011806953790335887,-0.009445890660338156,-0.02548500206475639,0.016297090345970627,0.006212343177820592,0.038806215039857,-0.07376444407680513,0.8005882791469077,3.6090167680550453
RANCHERO_ALL,wind,1.2299094142119036,14.961002998974298,7.420799838958599,10.075768208968006,0.03475810239549084,0.35013084613836143,20,14,11.919243156199677,-0.04196759169667807,-0.017878232257055753,0.030735140598730143,-0.018511567211711724,-0.01507646736876238,-0.010548938595915446,0.0031314285353890906,-0.03642274890126683,0.7951769766455359,4.543007226578384
RAT_RN_1,other,-1.2797128095014425,17.044615984544333,7.781265517009998,9.6039847906246,0.05837750788431859,0.4569549755082869,20,15,10.742979066022544,-0.045190981168835506,-0.010445793195585957,0.002372956634433337,-0.015429369888600455,-0.0007686383551381158,-0.01337795785685488,0.0021397626863190198,-0.02842551089358144,0.7536220140890424,5.686667258287805
RAYBURN_CC1,thermal,-2.4178460712608203,23.491026114717762,5.801872106287324,-21.478951213649804,0.02892035160705898,0.3679125008387573,8,19,11.239629629629631,0.03550247348816207,-0.04870861240761072,0.006626545501641669,0.027158372926287463,0.005507450749040302,-0.0036504431927585445,-0.02496141309929415,0.014259240552792317,0.8914286370358107,2.7379087042615646
RAYB_G78910,thermal,-2.4152210964235388,23.491904241255483,5.804203180567671,-21.476842908138,0.02892035160705898,0.367644098503657,8,19,11.240273752012884,0.03550223359361876,-0.048742380087528764,0.006667658425292923,0.027077941635220548,0.005656353355288641,-0.0036183831074934852,-0.024945442920206916,0.014374862461461933,0.8918027715388425,2.733909066053889
RBN_BESS1,storage,0.7860356975105685,7.689106349991673,3.052102932295511,-10.700624120310094,0.00811917063678454,0.22720257666241697,15,6,5.3268276972624795,0.0454702981628617,0.025871364203236918,-0.004086512250183513,-0.007822527301309456,-0.025283442541509375,0.012629170931383953,-0.0035250614055064105,0.017549668378195927,0.8674010757612377,1.5335146607474113
RDCAN_RDCNY1,other,-1.7437435415688118,11.999530893975292,6.503747567603838,4.877921063905109,0.034489700060390524,0.4334697711870093,7,15,4.384605475040257,-0.04405206920700927,-0.005877837214904194,-0.03254812384853873,-0.02073674558488293,0.0027710310215143153,-0.00010466734930812568,-0.010770852510694954,0.007153067130245171,0.79174358161701,4.151047011732022
REDBARN_RN,other,7.105861906998591,18.505579312813893,11.959149164597733,4.642028510635767,0.12346507414614508,0.27189156545661947,4,14,22.404669887278583,-0.04110471007835317,-0.01982593392149964,0.03854917674879324,-0.001362588172577367,-0.047207064405751814,-0.02426789952685927,-0.03222349528780956,0.04124321223413279,0.9525020862293233,3.34858174725213
REDFISH_ALL,wind,-6.541520499228343,34.349567215906966,10.704472924914448,-19.353152954554297,0.0964235388847883,0.48480171777494463,13,19,22.43632850241546,0.03316189923055939,-0.04711071287643575,-0.01857976296421517,0.015450453643865549,0.009095707455350271,-0.03148701567366038,-0.025187730644069258,-0.012260305045356924,0.8322415243006359,6.182771887951673
REDGATE_RN,other,-4.854299134402469,32.943235157498215,9.39408709655774,-20.455901758149096,0.07307253573106086,0.4478292961148762,15,19,23.854734299516906,0.03820605694503842,-0.03894852916023424,-0.021147924954596845,0.006232142270200771,0.014189540610634729,-0.045861407065393725,-0.023742030111381915,-0.008161294908930038,0.8736219788699582,4.734019901440092
RELOJ_ALL,wind,-10.312004965443199,31.46864020309996,12.873851573508688,-14.398415628655576,0.158290277125411,0.5347245521036033,13,19,26.256183574879227,0.024335523836426044,-0.05306339893331332,-0.025935565055629946,0.006956982660215053,0.028995119446626787,-0.057166590681768645,-0.028423949006834284,-0.023472412538251112,0.8905232323512385,5.893891555394078
REROCK_ALL,wind,8.773336912031136,19.216292747976485,12.997141515131181,4.088080298965292,0.15587465610950815,0.26115547205260686,3,15,24.042012882447665,-0.03798378666750262,-0.020860503389094644,0.04731285165086971,0.001316321185715578,-0.051204366879314504,-0.025688264895939554,-0.036365434865807324,0.04372392126785745,0.9692187169995007,2.8462827935726183
RHESS2_ESS1,storage,17.999216936187345,126.62748186397144,18.728957256928137,25.998509388513646,0.11984164262229081,0.11427229416895927,17,23,59.061239935587764,0.0036914908204053144,0.02786291470930884,0.011000673078295557,-0.046443628162464966,0.03621199016712756,-0.03664368393081677,-0.012953685789002424,0.04542877322269641,0.4502930341133792,25.53678270191444
RIGGIN_UNIT1,thermal,8.79939676575186,19.671777732092455,13.363644232704823,3.5573504227562793,0.16231631215191572,0.2756491981480239,4,15,25.20876006441224,-0.03868852342471685,-0.021783340967002924,0.042768599051692696,0.0002388006800729127,-0.05256319916722045,-0.027197015336463015,-0.036862359983061276,0.04671773314522359,0.9758082077844175,2.6391072967132634
RIOG_ESR2_RN,storage,-3.8677474334026702,34.02800108119227,9.221803663691874,-14.340249423343536,0.06777158961282963,0.4350801851976112,15,19,22.66246376811594,0.03782432949804599,-0.03913066049555584,-0.016178963547407617,0.0032084635664810725,0.015859828582506043,-0.04405544433373373,-0.020152795769521552,-0.007902401887188798,0.8432889692779649,5.0165177847137405
RIOG_ESR_RN,storage,-3.8677474334026702,34.02800108119227,9.221803663691874,-14.340249423343536,0.06777158961282963,0.4350801851976112,15,19,22.66246376811594,0.03782432949804599,-0.03913066049555582,-0.016178963547407617,0.003208463566481071,0.015859828582506036,-0.04405544433373371,-0.02015279576952156,-0.007902401887188793,0.8432889692779649,5.0165177847137405
RIONOG_CC1,thermal,2.0972159967791724,6.704619996504221,3.1762886667114003,6.989961351895341,0.010870294571562772,0.14131382943031603,17,4,4.099420289855073,0.013720179978710454,0.016118328129546174,0.06943314421542356,-0.028917590220755716,0.07907978137807602,0.01352341620842663,-0.02459820266052312,-0.0025715468723226872,0.9238673969505419,1.3317584056403036
RIONOG_CT1,thermal,2.0972153257733344,6.704619574355326,3.1762879957055628,6.989962853679306,0.010870294571562772,0.14131382943031603,17,4,4.099420289855073,0.013720179382473984,0.016118336589760206,0.06943315720310536,-0.02891757109745604,0.07907975977463914,0.013523438639158907,-0.024598212139171276,-0.002571598138835786,0.9238673464809988,1.331758678077203
RIONOG_CT2,thermal,2.0972153257733344,6.704619574355326,3.1762879957055628,6.989962853679306,0.010870294571562772,0.14131382943031603,17,4,4.099420289855073,0.013720179382473984,0.016118336589760206,0.06943315720310536,-0.02891757109745604,0.07907975977463914,0.013523438639158907,-0.024598212139171276,-0.002571598138835786,0.9238673464809988,1.331758678077203
RIONOG_CT3,thermal,2.0972153257733344,6.704619574355326,3.1762879957055628,6.989962853679306,0.010870294571562772,0.14131382943031603,17,4,4.099420289855073,0.013720179382473984,0.016118336589760206,0.06943315720310536,-0.02891757109745604,0.07907975977463914,0.013523438639158909,-0.024598212139171273,-0.002571598138835787,0.9238673464809988,1.331758678077203
RIONOG_ST1,thermal,2.0972153257733344,6.704619574355326,3.1762879957055628,6.989962853679306,0.010870294571562772,0.14131382943031603,17,4,4.099420289855073,0.013720179382473984,0.016118336589760206,0.06943315720310536,-0.02891757109745604,0.07907975977463914,0.013523438639158907,-0.024598212139171276,-0.002571598138835786,0.9238673464809988,1.331758678077203
RIPPEY_ALL,wind,-3.3155747165000338,16.24837749609811,6.839861101791586,-1.2847211806510843,0.06904650070455613,0.4481647990337516,18,0,8.285458937198067,-0.016945961525717153,0.015384901752540151,-0.03448199706227817,-0.021970181856671378,0.01826838823343997,0.032246919483008125,-0.11687839917460782,0.028260366353636643,0.5965775146931526,8.763015203169887
RN_APOGEE,other,-4.760305978662014,11.411885277235173,6.363407367644098,2.648047163357025,0.045963899885929006,0.590686438972019,7,16,4.372946859903381,-0.03753330094660931,-0.011254660598936107,-0.052033542398171796,-0.014480062958760207,0.024398080236196037,0.011002468631008296,0.0074433022591540235,0.0007173061646770921,0.7774664526940633,4.284853359234285
RN_BYU_G8,thermal,2.666913373146346,10.635904270160509,5.04634838623096,-3.0786833975575423,0.03717372341139368,0.240018788163457,15,6,12.66098228663446,0.042134451633062626,0.030988533466199168,-0.014860986309009557,-0.03556658092384114,-0.032757534035136614,-0.010369745562903408,-0.0263789441176784,-0.003349222519142354,0.9504470496367252,1.779851434703964
RN_DEC_AGR_A,other,-4.900119439039121,19.163640958853627,7.796373884452795,-3.4250511563186286,0.07958129235724351,0.46997248876065223,18,0,7.871400966183575,-0.01802726526931972,0.006377873570735162,-0.038826355601733156,-0.022426860744592908,0.018538827831748293,0.04033491763164058,-0.11730198681167413,0.0225840311866181,0.6213385185088087,10.235382840612703
RN_DEC_AGR_B,other,-4.893975038582836,19.15628869200391,7.792595450580421,-3.423889308081108,0.07958129235724351,0.46889887942025094,18,0,7.882640901771336,-0.0180261008881965,0.006377236000079868,-0.0387854707084411,-0.022433877216094644,0.018570281253672216,0.04033697662641138,-0.11727577145793981,0.022617112343037028,0.6210614270835786,10.23433944010306
RN_DEC_AGR_C,other,-4.89491042072066,19.155776497322364,7.791776823458364,-3.4239992558391146,0.07958129235724351,0.46896598000402606,18,0,7.866795491143318,-0.01802871984606036,0.0063716956085383344,-0.038794173400882676,-0.022433249944263066,0.018564890152748523,0.04032890051249863,-0.11728139949492915,0.022604635097026496,0.6211203980262074,10.23317538970871
RN_DEC_AGR_D,other,-4.894533986445682,19.15592832582278,7.791895591491645,-3.4239888023758014,0.07958129235724351,0.46883177883647587,18,0,7.867809983896939,-0.01802894399645002,0.006371808106429227,-0.03879489487088388,-0.02243296565771202,0.018566194332776207,0.040330914176811124,-0.11727816870035687,0.0226011586842093,0.6211175884665557,10.233308022366845
RN_ECEC_HOLT,other,8.032117694423942,17.326581696006606,12.136920754210562,3.332724184584215,0.1385627054955378,0.24693014829229015,0,15,21.439855072463768,-0.03800795447741071,-0.022927577308032576,0.048150052511459866,-0.001970138300673537,-0.048657400338132935,-0.02696512079826339,-0.005776971955815508,0.011754188882433455,0.9254247368346257,4.0504044817308
