a,b,n,spread_median,spread_std,robust_sigma,opportunity_share,opportunity_share_oos,adf_stat,adf_p,half_life_is,half_life_oos,theta_is,theta_oos,reversion_yield,p_bh,discovery
LNCRK_ALL,TKWSW_ROSCOE,14903,-0.17999999999999972,1.8025685721249722,0.889560000000002,0.03652223926380368,0.03287855065980765,-11.491393733686861,4.726847248888022e-21,6.278288233424163,5.835169324537086,0.1104038481173561,0.11878784350699778,0.14168830211779526,1.4806614229961346e-20,True
LNCRK_ALL,PYR_PYRON1,14903,-0.17999999999999972,1.8025685721249722,0.889560000000002,0.03652223926380368,0.03287855065980765,-11.491393733686861,4.726847248888022e-21,6.278288233424163,5.835169324537086,0.1104038481173561,0.11878784350699778,0.14168830211779526,1.4806614229961346e-20,True
LNCRK_ALL,TKWSW_CHAMP,14903,-0.17999999999999972,1.8025685721249722,0.889560000000002,0.03652223926380368,0.03287855065980765,-11.491393733686861,4.726847248888022e-21,6.278288233424163,5.835169324537086,0.1104038481173561,0.11878784350699778,0.14168830211779526,1.4806614229961346e-20,True
IND_INADALE1,LNCRK_ALL,14903,0.17999999999999972,1.8025685721249727,0.889560000000002,0.03652223926380368,0.03287855065980765,-11.491393733686849,4.7268472488882944e-21,6.278288233424162,5.83516932453709,0.11040384811735614,0.1187878435069977,0.14168830211779532,1.4806614229961346e-20,True
BCATWD_WD_1,RN_APOGEE,14903,-0.08000000000000185,6.350126475564643,1.0081680000000048,0.1169478527607362,0.11563408633415344,-11.481115414688643,4.991898942961065e-21,11.487871920830544,7.747164324874563,0.06033730053197116,0.08947108277210426,0.0877593349706424,1.5611029421623696e-20,True
MUSTNGCK_ALL,SKY1,14903,0.00999999999999801,3.237909954747093,0.859908,0.08454754601226994,0.08834712592261239,-11.480588782498357,5.005878640026799e-21,6.19661186837608,5.034492586889644,0.11185906028702028,0.13767965064939702,0.138770673113879,1.5628914829918653e-20,True
HRBESS_BESS,TOYAH_RN,14903,0.0,0.23451933737056355,0.0,0.0,0.0,-11.476811912805124,5.1073082340555735e-21,1.7086200343091091,1.4218677969282687,0.40567660839832276,0.487490596564171,0.0,1.5914002615204473e-20,True
DUKE_GT2_CCU,NEDIN_CC1,14903,0.00999999999999801,0.841866578696432,0.01482599999999705,0.015241564417177915,0.0017893088794453142,-11.476564920105083,5.114013525393403e-21,4.370547099830248,5.184950314738112,0.15859506023556344,0.1336844402519517,0.0033922526542667602,1.5914002615204473e-20,True
NED_NEDIN_G3,SROSA_ESR_RN,14903,0.00999999999999801,6.466066682801998,0.6819959999999959,0.20159125766871167,0.15745918139118764,-11.458401669364118,5.6323999702190224e-21,5.818073274905312,6.772370904054402,0.11913689426182522,0.10234926444223252,0.11722024934639472,1.749835918498258e-20,True
CARBN_BSP_1,GRDNE_ESR_RN,14903,1.1199999999999992,8.364310230651009,3.558240000000003,0.3194976993865031,0.07962424513531649,-11.449423524260059,5.908019824965503e-21,6.213117521547581,5.564972356816232,0.11156189757493823,0.12455536813420952,0.5726980034837176,1.8324546735794643e-20,True
DSWL_BES1,HB_NORTH,14903,0.040000000000000924,1.2897296949544141,0.1927380000000064,0.02463573619631902,0.04339074032654887,-11.443425941191423,6.099724875077521e-21,4.903028758368313,5.264200924378632,0.14137122475100858,0.13167187015031384,0.03930998766243174,1.8888182428226957e-20,True
HB_BUSAVG,STRATEGC_RN,14903,0.019999999999999574,2.4766353579124334,1.423295999999996,0.06441717791411043,0.062625810780586,-11.43871432002869,6.2547425212141904e-21,7.946188380563406,7.16940185040244,0.08723014700424196,0.09668131247532692,0.1791168207742742,1.9336556944668706e-20,True
BOSQ_BSQS_34,MRKM_SLR_RN,14903,0.0,1.746333845469292,0.1927380000000038,0.03374233128834356,0.092596734511295,-11.42626075734413,6.68400049246931e-21,6.016182897241412,6.793947741325306,0.11521378129607274,0.10202421433767637,0.03203659251921672,2.0596301191778396e-20,True
BOSQUESW_CC1,MRKM_SLR_RN,14903,0.0,1.746333845469292,0.1927380000000038,0.03374233128834356,0.092596734511295,-11.42626075734413,6.68400049246931e-21,6.016182897241412,6.793947741325306,0.11521378129607274,0.10202421433767637,0.03203659251921672,2.0596301191778396e-20,True
CATARINA_B1,HELIOS_RN,14903,2.559999999999997,12.891333976077824,4.566408000000005,0.3831480061349693,0.23753075374636545,-11.41689280538326,7.02649809750938e-21,4.9153384537881974,4.320479590592866,0.14101718265722768,0.16043292556436542,0.9290119170696628,2.1616478699980076e-20,True
